Nome,Sqd,Gol,Assist,Presenze,Pr. Exp,MV,MVexp,FMV,FMVexp,FM eff Att,FM eff,Prz,Prz Medio,Prz mio,infortuni,Unit cost FMV,,,
Immobile,,7,1,28,50,5.91,6.1,6.59,7.15,4.147,2.86,15,7,20,fine ottobre,1.021428571,3.63,,
Orban,,,,,70,,5.93,,6.6,4.224,4.62,10,3,31,,2.2,-2.01,,
Stulic,,,,,70,,5.85,,6.58,4.192,4.585,15,3,14,,2.193333333,-2.17,,
Sanabria,,2,1,22,70,5.7,5.92,5.84,6.5,4.16,4.55,5,3,15,,2.166666667,-2.82,,
Bravo,,2,0,16,70,6,6.01,6.28,6.46,4.1344,4.522,10,3,1,,2.153333333,-3.15,,
Addai,,,,,60,,6.05,,6.64,4.1168,3.984,5,3,1,,2.213333333,-1.69,,
Ngonge,,,,,60,6.06,6.06,6.67,6.63,4.1106,3.978,5,3,1,,2.21,-1.77,,
Cutrone,,7,4,33,60,6.02,5.97,6.67,6.58,4.0796,3.948,10,3,1,,2.193333333,-2.17,,
Pedro,,10,1,28,60,6.21,6.15,7.27,6.8,4.216,4.08,12,2,6,,3.4,-0.36,,
Kuhn,,,,,60,,6.04,,6.61,4.0734,3.942,10,2,16,,3.305,-1.78,,
Sulemana K,Ata,,,,,,,,,0,0,8,2,1,,0,-51.36,,
Meister,,,,,70,,5.87,,6.42,4.1088,4.494,1,1,,,6.42,-2.99,,
Buksa,,,,,50,,,,6.46,4.0672,3.936,3,1,,,6.46,-2.71,,
Cambiaghi,,1,3,17,50,6.15,6.14,6.5,6.6,3.96,3.3,1,1,2,,6.6,-1.73,,
Esposito F.P.,Int,,,,40,,6.27,,7.1,4.118,2.84,1,1,2,,7.1,1.76,,
Cancellieri,,,,,,,,,,0,0,1,1,1,,0,-47.78,,
Dominguez B,,,,,,,,,,0,0,1,1,1,,0,-47.78,,
Sarr,,,,,,,,,,0,0,8,1,1,,0,-47.78,,
Kilicsoy,,,,,,,,,,,,3,1,,,0,-47.78,,
Cheddira,,,,,60,,5.96,,6.54,4.0548,3.924,,,,,#DIV/0!,-2.01,,
Vitinha,,,,,60,,,,6.47,4.0114,3.882,1,,,,#DIV/0!,-2.46,,
Bonazzoli?,,,,,50,,,,6.5,3.77,2.6,,,1,,#DIV/0!,-2.27,,
Almqvist,,,,,,,,,,0,0,,,,,#DIV/0!,-44.66,,
Bayo,,,,,,,,,6.48,3.24,0,1,,,4a/5a,#DIV/0!,-2.4,,
Luvumbo,,,,,,,,,,,,1,,,fine settembre,#DIV/0!,-44.66,,
De Luca,,,,,40,,,,6.62,,,1,,,,#DIV/0!,-1.49,,
Mosquera,,,,,50,,,,6.42,,,,,,indefinito: appendicite,#DIV/0!,-2.79,,
Dallinga,,,,,,,,,,,,1,,,,#DIV/0!,-44.66,,
Moumbagna,,,,,70,,,,6.33,,,3,,,,#DIV/0!,-3.38,,
Aboukhlal,,,,,50,,,,6.62,,,5,,,,#DIV/0!,-1.49,,
