name,pr_exp,fmv_exp,price,role
Saelemekers,70.0,6.7,18,C
Loftus-cheek,70.0,6.45,18,C
Koopmeiners,50.0,6.49,18,C
carboni v.,60.0,6.44,16,C
Atta,80.0,6.44,15,C
Stanciu,70.0,6.55,13,C
Rowe,60.0,6.58,12,C
Baturina,60.0,6.55,11,C
Bernabè,80.0,6.25,10,C
Frattesi,60.0,6.69,10,C
Cornet,60.0,6.57,10,C
Maldini,60.0,6.54,10,C
Samardzic,60.0,6.48,10,C
Bailey,60.0,6.6,9,C
Folorunsho,80.0,6.25,8,C
Dele-bashiru,70.0,6.55,8,C
Fazzini,60.0,6.55,8,C
Gronbaek,60.0,6.19,8,C
Pasalic,70.0,6.61,7,C
Vazquez,70.0,6.41,7,C
Oristanio,70.0,6.41,7,C
Mandragora,70.0,6.34,7,C
Vandeputte,70.0,6.25,7,C
Collocolo,70.0,6.24,7,C
Zalewski,70.0,6.29,7,C
Elsha,50.0,6.79,7,C
Ellertson,60.0,6.2,7,C
Toure,70.0,6.2,6,C
Casadei,80.0,6.37,5,C
Da cunha,80.0,6.37,5,C
Cristante,80.0,6.36,5,C
Thorstvedt,70.0,6.13,5,C
Mkhitarian,60.0,6.55,5,C
Sohm,60.0,6.32,5,C
Elmas,50.0,6.53,5,C
El Ayanaoi,50.0,6.33,5,C
Zaniolo,50.0,6.27,5,C
Pellegrini lo,50.0,6.3,5,C
Guendouzi,80.0,6.38,4,C
Locatelli,70.0,6.32,4,C
Stengs,70.0,6.41,3,C
Malinovsky,60.0,6.5,3,C
Gaetano,60.0,6.35,3,C
Nicolussi Cav,50.0,6.39,3,C
De roon,80.0,6.13,2,C
Freuler,80.0,6.24,1,C
Frendrup,80.0,6.1,1,C
Tete morente,70.0,6.19,1,C
Pierotti,70.0,6.15,1,C
Lobotka,70.0,6.12,1,C
Zerbin,70.0,6.0,1,C
Lorran,60.0,6.28,1,C
Sottil,60.0,6.19,1,C
Fofana,60.0,6.2,1,C
Jashari,50.0,6.51,1,C
Lautaro,80.0,8.1,155,A
Thuram,85.0,8.0,150,A
Kean,85.0,8.0,143,A
Leao,80.0,7.4,110,A
Yildiz,85.0,7.34,100,A
David,70.0,7.73,100,A
Hoilund,70.0,7.5,100,A
Ferguson E.,75.0,7.43,95,A
Castellanos,80.0,7.44,90,A
Scamacca,70.0,7.5,80,A
Berardi,85.0,7.3,75,A
Soule,70.0,7.2,70,A
Dybala,50.0,7.59,60,A
Lookman,60.0,7.25,55,A
Openda,60.0,7.26,50,A
Gimenez,60.0,7.2,50,A
Castro,80.0,6.93,47,A
Vlahovic,60.0,7.36,45,A
De ketelaere,80.0,6.94,41,A
Pellegrino,80.0,6.85,40,A
Krstovic,70.0,7.35,40,A
Nkunku,60.0,7.21,40,A
Lucca,50.0,7.27,40,A
Pinamonti,80.0,6.78,34,A
Vardy,70.0,6.8,30,A
Zapata,50.0,7.42,30,A
Dovbyk,60.0,7.01,28,A
Morata,70.0,6.91,25,A
Lukaku,40.0,7.37,22,A
Esposito Se.,80.0,6.79,20,A
Douvikas,60.0,6.78,18,A
Piccoli,60.0,6.78,16,A
Laurientiè,80.0,6.71,15,A
Bonny,60.0,6.8,15,A
Diao,50.0,7.18,15,A
Colombo,80.0,6.59,13,A
Camarda,60.0,6.55,13,A
Dzeko,40.0,7.0,13,A
Dia,60.0,6.9,12,A
Davis,70.0,6.6,10,A
Belotti,70.0,6.43,15,A
Simeone,60.0,6.88,10,A
Nzola,60.0,6.64,10,A
Lang,50.0,6.88,10,A
Giovane,70.0,6.67,7,A
J. Rodriguez,70.0,6.57,7,A
Adams,50.0,6.82,7,A
Immobile,50.0,7.15,7,A
Orban,70.0,6.6,3,A
Stulic,70.0,6.58,3,A
Sanabria,70.0,6.5,3,A
Bravo,70.0,6.46,3,A
Addai,60.0,6.64,3,A
Ngonge,60.0,6.63,3,A
Cutrone,60.0,6.58,3,A
Pedro,60.0,6.8,2,A
Kuhn,60.0,6.61,2,A
Meister,70.0,6.42,1,A
Buksa,50.0,6.46,1,A
Cambiaghi,50.0,6.6,1,A
Esposito F.P.,40.0,7.1,1,A
