Nome,Sqd,Gol,Assist,Presenze,Pr. Exp,MV,MVexp,FMV,FMVexp,FM eff Att,FM eff,Prz,Prz Medio,Prz mio,infortuni,Unit Cost FMV,incremento/prz,,
Zaniolo,,2,1,18,50,6.03,6.01,6.22,6.27,3.762,3.135,5,5,5,,1.254,,,
Pellegrini lo,,2,1,25,50,5.68,5.99,5.88,6.3,3.528,1.89,3,5,5,,1.26,,,
Guendouzi,,1,2,37,80,6.07,6.05,6.07,6.38,4.2108,5.104,8,4,8,,1.595,,,
Locatelli,,2,1,35,70,6.19,6.2,6.26,6.32,4.0448,4.424,5,4,5,,1.58,,,
Stengs,,,,,70,,5.91,,6.41,4.1024,4.487,10,3,1,>1 mese,2.136666667,,,
Malinovsky,,0,2,9,60,6.33,6.21,6.44,6.5,4.03,3.9,3,3,3,,2.166666667,,,
Gaetano,,2,4,27,60,6.04,6.01,6.41,6.35,3.937,3.81,5,3,3,,2.116666667,,,
Nicolussi Cav,,4,3,35,50,6.2,6.06,6.53,6.39,3.834,3.195,8,3,7,,2.13,,,
De roon,,4,4,36,80,6.15,6.06,6.53,6.13,4.0458,4.904,1,2,10,,3.065,,,
Freuler,,1,1,37,80,6.19,6.14,6.22,6.24,4.1184,4.992,1,1,3,,6.24,,,
Frendrup,,2,0,35,80,6,6.02,6.04,6.1,4.026,4.88,1,1,1,,6.1,,,
Tete morente,,3,2,30,70,5.87,5.92,6.15,6.19,3.9616,4.333,1,1,1,,6.19,,,
Pierotti,,4,1,35,70,5.81,5.91,6.1,6.15,3.936,4.305,1,1,1,,6.15,,,
Lobotka,,0,1,31,70,6.05,6.1,6.03,6.12,3.9168,4.284,1,1,1,,6.12,,,
Zerbin,,1,1,18,70,6,6,6.11,6,3.84,4.2,1,1,2,,6,,,
Lorran,pis,,,,60,,,,6.28,3.8936,3.768,5,1,1,,6.28,,,
Sottil,,1,1,21,60,5.95,5.96,6.12,6.19,3.8378,3.714,1,1,1,,6.19,,,
Karlstrom,,0,2,37,75,5.85,5.92,5.78,5.98,3.887,4.485,,,,,#DIV/0!,,,
Ekkelenkamp,,3,2,33,70,5.97,5.96,6.27,6.25,4,4.375,,,,,#DIV/0!,,,
Lovric,,2,2,35,70,5.96,5.99,6.11,6.23,3.9872,4.361,,,,,#DIV/0!,,,
Rovella,,,,,70,,,,6.03,3.8592,4.221,,,1,,#DIV/0!,,,
Sorensen,Par,,,,70,,5.91,,6.03,3.8592,4.221,,,,,#DIV/0!,,,
Fadera,,1,3,24,60,6,5.98,6.19,6.33,3.9246,3.798,,,,,#DIV/0!,,,
Fagioli,,1,2,24,60,5.92,6.02,6.04,6.3,3.906,3.78,,,,,#DIV/0!,,,
Volpato,Sas,1,0,17,60,5.85,5.97,6,6.28,3.8936,3.768,,,,,#DIV/0!,,,
Caqueret,,2,3,16,60,6.34,6.1,6.78,6.24,3.8688,3.744,,,,,#DIV/0!,,,
Fofana,,1,0,34,60,6.03,6.07,6.22,6.2,3.844,3.72,1,1,3,,6.2,,,
Helgason,,0,4,17,60,6.03,5.9,6.26,6.1,3.782,3.66,,,,,#DIV/0!,,,
Hernani,,3,3,25,60,,5.93,6.42,6.1,3.782,3.66,,,,fine settembre,#DIV/0!,,,
Ilic,,1,0,16,60,5.91,5.98,5.97,6.09,3.7758,3.654,,,,,#DIV/0!,,,
Messias,,1,1,16,50,,,,6.54,3.924,3.27,,,,,#DIV/0!,,,
Jashari,,,,,50,,6.12,,6.51,3.906,3.255,1,1,1,fine ottobre,6.51,,,
anjorin,,2,3,22,50,6.3,6.1,6.64,6.51,3.906,3.255,,,,,#DIV/0!,,,
Ferguson L.,,1,1,14,50,6.11,6.16,6.39,6.5,3.9,3.25,1,,,,#DIV/0!,,,
Fabbian,,3,0,22,50,6.09,6.11,6.48,6.5,3.9,3.25,1,,,,#DIV/0!,,,
Vecino,,2,3,18,50,6.14,6.04,6.44,6.38,3.828,3.19,,,,4a giornata,#DIV/0!,,,
Kostic,,,,,50,,6.07,,6.38,3.828,3.19,,,,,#DIV/0!,,,
Bernardeschi,,,,,50,,,,6.3,3.78,3.15,,,,,#DIV/0!,,,
Pobega,,2,2,20,50,6.05,6.06,6.25,6.25,3.75,3.125,,,,fine settembre,#DIV/0!,,,
ricci,,,,,50,,,,6.03,3.618,3.015,,,,,#DIV/0!,,,
McKennie,,,,,40,,,,6.35,3.683,2.54,,,,,#DIV/0!,,,
Zielinski,,2,1,20,40,5.98,6.15,6.32,6.32,3.6656,2.528,,,,,#DIV/0!,,,
Pisilli,,,,,40,,6.03,,6.31,3.6598,2.524,,,,,#DIV/0!,,,
Brescianini,,,,,,,,,,0,0,,,,,#DIV/0!,,,
